date,open,high,low,close,volume,Name
10-04-2013,15.74,15.98,15.7,15.78,3650600,AAL
11-04-2013,15.77,16.38,15.75,16.19,5062200,AAL
12-04-2013,16.11,16.39,15.95,16.14,3751800,AAL
15-04-2013,16.2,16.39,15.47,15.59,6243400,AAL
16-04-2013,15.96,16.74,15.81,16.37,10458200,AAL
17-04-2013,16.17,16.55,15.9,16.52,6581900,AAL
18-04-2013,16.54,16.54,15.95,16.1,7633300,AAL
19-04-2013,16.1,16.24,15.85,16.02,5762600,AAL
22-04-2013,15.99,16,15.5,15.52,9227100,AAL
23-04-2013,15.33,16.49,15.33,16.3,12302300,AAL
24-04-2013,16.26,16.5,16,16.45,6114400,AAL
25-04-2013,16.55,16.73,16.19,16.22,5548800,AAL
26-04-2013,16.38,16.73,16.16,16.59,7272100,AAL
29-04-2013,16.7,16.97,16.56,16.81,5436400,AAL
30-04-2013,16.8,17.05,16.57,16.9,3640700,AAL
01-05-2013,16.91,17.17,16.6,16.6,4943600,AAL
02-05-2013,16.72,16.98,16.6,16.94,4888900,AAL
03-05-2013,17.02,17.19,16.89,17.02,6451900,AAL
06-05-2013,17.05,17.11,16.91,17,3930700,AAL
07-05-2013,17.15,17.15,16.95,16.98,3157000,AAL
08-05-2013,17.01,17.55,16.99,17.34,6706200,AAL
09-05-2013,17.53,17.86,17.34,17.38,6424000,AAL
10-05-2013,17.61,17.81,17.41,17.76,4248200,AAL
13-05-2013,17.74,17.95,17.57,17.72,4250900,AAL
14-05-2013,17.82,18.3,17.8,18.1,5989700,AAL
15-05-2013,18.37,18.99,18.31,18.81,8951500,AAL
16-05-2013,18.96,19.52,18.88,19.12,6679300,AAL
17-05-2013,19.38,19.7,18.75,19.01,7540000,AAL
20-05-2013,19.05,19.39,18.39,18.59,6055000,AAL
21-05-2013,18.55,18.7,17.65,17.95,10018700,AAL
22-05-2013,18.06,18.43,17.71,17.93,8662000,AAL
23-05-2013,17.48,18.45,17.44,18.19,7482400,AAL
24-05-2013,18.11,18.42,17.89,18.21,4277800,AAL
28-05-2013,18.44,18.72,18.05,18.12,4561900,AAL
29-05-2013,18.06,18.15,17.65,17.83,4216200,AAL
30-05-2013,17.92,18.22,17.66,17.67,4126600,AAL
31-05-2013,17.66,17.9,17.55,17.57,3831500,AAL
03-06-2013,17.54,17.9,17.4,17.73,5776800,AAL
04-06-2013,17.78,18.2,17.56,17.65,4543800,AAL
05-06-2013,17.15,17.62,16.85,16.95,11852000,AAL
06-06-2013,16.92,17.08,15.93,16.64,12738600,AAL
07-06-2013,16.89,17.1,16.65,17.02,4030900,AAL
10-06-2013,17.09,17.35,17.05,17.26,4246400,AAL
11-06-2013,16.94,17.26,16.75,16.92,3788700,AAL
12-06-2013,16.97,17.2,16.65,16.88,3602200,AAL
13-06-2013,16.85,17.07,16.64,17.01,5384700,AAL
14-06-2013,16.96,17.25,16.81,16.93,2572500,AAL
17-06-2013,17.02,17.16,16.74,16.95,2845000,AAL
18-06-2013,16.94,17.32,16.82,17.22,4298600,AAL
19-06-2013,17.16,17.27,17,17.06,2382500,AAL
20-06-2013,16.73,17.18,16.53,16.73,5234200,AAL
21-06-2013,16.8,16.94,16.05,16.34,6423700,AAL
24-06-2013,16.06,16.14,15.59,16.13,6691000,AAL
25-06-2013,16.22,16.5,16.16,16.46,3399500,AAL
26-06-2013,16.5,16.64,16.17,16.17,3604500,AAL
27-06-2013,16.29,16.34,16,16.31,3566000,AAL
28-06-2013,16.24,16.55,16.16,16.42,7063900,AAL
01-07-2013,16.5,17.04,16.48,16.8,4666900,AAL
02-07-2013,16.78,16.79,16.36,16.43,4009300,AAL
03-07-2013,16.06,16.8,16.04,16.75,2625800,AAL
05-07-2013,16.93,17,16.68,16.84,2397200,AAL
08-07-2013,16.94,17.09,16.85,16.94,2671200,AAL
09-07-2013,17.01,17.38,16.97,17.36,4076600,AAL
10-07-2013,17.32,17.48,17.01,17.17,4289700,AAL
11-07-2013,17.4,17.5,17.27,17.37,3153800,AAL
12-07-2013,17.36,17.85,17.35,17.56,3947100,AAL
15-07-2013,17.66,17.83,17.56,17.76,3267000,AAL
16-07-2013,17.86,18,17.75,17.95,3839100,AAL
17-07-2013,17.96,18.47,17.95,18.45,6291800,AAL
18-07-2013,18.7,18.93,18.31,18.42,8434200,AAL
19-07-2013,18.26,18.37,18,18.23,4122700,AAL
22-07-2013,18.25,18.3,18,18.15,4705200,AAL
23-07-2013,18.33,18.34,17.85,18.05,4893700,AAL
24-07-2013,18.43,18.71,18.22,18.5,10792800,AAL
25-07-2013,18.49,18.85,18.3,18.83,9851900,AAL
26-07-2013,18.74,19.11,18.68,19.09,7797700,AAL
29-07-2013,19.07,19.26,18.93,19.23,6462700,AAL
30-07-2013,19.33,19.45,19.11,19.2,6091900,AAL
31-07-2013,19.25,19.49,19.19,19.35,9571100,AAL
01-08-2013,19.44,19.59,19.24,19.38,7989100,AAL
02-08-2013,19.38,19.39,18.9,18.92,7382700,AAL
05-08-2013,18.9,19.25,18.9,19.17,4365800,AAL
06-08-2013,19.17,19.2,18.83,18.92,3350300,AAL
07-08-2013,18.84,18.98,18.52,18.87,4318500,AAL
08-08-2013,18.99,19.13,18.9,18.98,4269900,AAL
09-08-2013,18.91,19.08,18.56,18.6,4720600,AAL
12-08-2013,18.49,18.88,18.07,18.82,4674800,AAL
13-08-2013,18.86,18.95,16.29,16.36,78591200,AAL
14-08-2013,16.05,16.34,15.35,16.17,28026200,AAL
15-08-2013,15.97,16.16,15.65,15.72,10372800,AAL
16-08-2013,15.7,16.42,15.7,16.01,8824700,AAL
19-08-2013,15.97,15.99,15.62,15.64,6141500,AAL
20-08-2013,15.64,16.21,15.6,15.8,6373900,AAL
21-08-2013,15.8,15.99,15.75,15.81,4234300,AAL
22-08-2013,15.91,16.37,15.9,16.27,4770200,AAL
23-08-2013,16.3,16.4,16.1,16.16,2190400,AAL
26-08-2013,16.16,16.41,16.03,16.21,2808200,AAL
27-08-2013,15.87,16,15.33,15.47,6422300,AAL
28-08-2013,15.38,15.53,15.28,15.34,3613100,AAL
29-08-2013,16.03,16.39,15.72,15.96,7645000,AAL
30-08-2013,16.1,16.73,16.07,16.16,7569500,AAL
03-09-2013,16.38,16.64,16.11,16.39,4178200,AAL
04-09-2013,16.49,16.85,16.44,16.81,4839200,AAL
05-09-2013,16.95,17.13,16.88,16.99,3528500,AAL
06-09-2013,17.18,17.2,16.62,16.8,4512900,AAL
09-09-2013,16.86,17.47,16.84,17.47,5276200,AAL
10-09-2013,17.69,18.18,17.64,18.12,5827000,AAL
11-09-2013,18.03,18.04,17.31,17.72,6391100,AAL
12-09-2013,17.69,17.95,17.55,17.63,3475500,AAL
